     2   -0.89117+213    0.26693+216    0.26693+216    0.37950+210
     3    0.17862+214    0.24845+218    0.24845+218   -0.32833+211
     4   -0.29046+214   -0.92429+218   -0.92429+218   -0.64037+211
     5    0.44048+214    0.46058+218    0.46058+218    0.49025+211
     6   -0.63201+214   -0.51257+218   -0.51257+218    0.21276+212
     7    0.82040+214    0.23662+218    0.23662+218    0.57918+211
     8   -0.10402+215   -0.30571+218   -0.30570+218   -0.38431+212
     9    0.13520+215    0.10608+218    0.10608+218   -0.39618+212
    10   -0.16397+215    0.42503+217    0.42504+217    0.35793+212
    11    0.18938+215   -0.38756+218   -0.38756+218    0.89974+212
    12   -0.23126+215    0.99078+217    0.99080+217    0.14633+212
    13    0.27485+215   -0.20794+218   -0.20794+218   -0.11768+213
    14   -0.30287+215   -0.30668+217   -0.30666+217   -0.11303+213
    15    0.35059+215    0.24364+218    0.24364+218    0.66337+212
    16   -0.41245+215   -0.13941+218   -0.13941+218    0.20190+213
    17    0.44596+215    0.18329+218    0.18329+218    0.81979+212
    18   -0.49422+215   -0.22322+218   -0.22322+218   -0.18647+213
    19    0.57511+215    0.38526+218    0.38526+218   -0.25770+213
    20   -0.61936+215   -0.29998+218   -0.29998+218    0.16209+212
    21    0.66303+215    0.22028+218    0.22028+218    0.32590+213
    22   -0.76043+215   -0.24909+218   -0.24908+218    0.24323+213
    23    0.82401+215    0.17416+218    0.17415+218   -0.19142+213
    24   -0.86048+215   -0.20912+218   -0.20911+218   -0.42516+213
    25    0.96501+215    0.14550+218    0.14550+218   -0.10575+213
    26   -0.10564+216   -0.17509+218   -0.17509+218    0.38366+213
    27    0.10923+216    0.20106+218    0.20105+218    0.39010+213
    28   -0.11913+216   -0.22595+218   -0.22594+218   -0.11332+213
    29    0.13093+216    0.25389+218    0.25388+218   -0.47344+213
    30   -0.13580+216   -0.35727+218   -0.35726+218   -0.22893+213
    31    0.14465+216    0.30456+218    0.30455+218    0.29164+213
    32   -0.15815+216   -0.32784+218   -0.32783+218    0.43648+213
    33    0.16513+216    0.35565+218    0.35564+218    0.46668+212
    34   -0.17330+216   -0.44923+218   -0.44921+218   -0.38812+213
    35    0.18774+216    0.33163+218    0.33162+218   -0.34730+213
    36   -0.19702+216   -0.48746+218   -0.48745+218    0.12004+213
    37    0.20481+216    0.56875+218    0.56873+218    0.44508+213
    38   -0.21979+216   -0.64797+218   -0.64795+218    0.22088+213
    39    0.23162+216    0.60057+218    0.60055+218   -0.29406+213
    40   -0.23926+216   -0.73408+218   -0.73406+218   -0.44717+213
    41    0.25409+216    0.74444+218    0.74442+218   -0.27860+212
    42   -0.26875+216   -0.70013+218   -0.70010+218    0.43940+213
    43    0.27703+216    0.65703+218    0.65701+218    0.33518+213
    44   -0.29079+216   -0.78133+218   -0.78131+218   -0.20360+213
    45    0.30781+216    0.74093+218    0.74091+218   -0.45993+213
    46   -0.31821+216   -0.80792+218   -0.80790+218   -0.98585+212
    47    0.33060+216    0.82066+218    0.82063+218    0.35547+213
    48   -0.34845+216   -0.88198+218   -0.88195+218    0.29619+213
    49    0.36205+216    0.93920+218    0.93917+218   -0.14297+213
    50   -0.37411+216   -0.94714+218   -0.94711+218   -0.32732+213
    51    0.39133+216    0.95769+218    0.95766+218   -0.58068+212
    52   -0.40786+216   -0.92031+218   -0.92028+218    0.26739+213
    53    0.42072+216    0.97737+218    0.97734+218    0.21919+213
    54   -0.43717+216   -0.10320+219   -0.10319+219   -0.13481+213
    55    0.45620+216    0.10445+219    0.10444+219   -0.37090+213
    56   -0.46984+216   -0.10952+219   -0.10951+219   -0.12449+213
    57    0.48529+216    0.11030+219    0.11029+219    0.39206+213
    58   -0.50750+216   -0.11535+219   -0.11535+219    0.51327+213
    59    0.52237+216    0.11624+219    0.11624+219   -0.10096+213
    60   -0.53533+216   -0.11707+219   -0.11707+219   -0.76262+213
    61    0.56064+216    0.11805+219    0.11805+219   -0.51408+213
    62   -0.57882+216   -0.12293+219   -0.12292+219    0.53603+213
    63    0.58846+216    0.12401+219    0.12400+219    0.10577+214
    64   -0.61485+216   -0.12119+219   -0.12118+219    0.24362+213
    65    0.63824+216    0.12201+219    0.12201+219   -0.10294+214
    66   -0.64559+216   -0.13034+219   -0.13033+219   -0.11202+214
    67    0.67058+216    0.12767+219    0.12767+219    0.22908+213
    68   -0.69993+216   -0.12886+219   -0.12886+219    0.14534+214
    69    0.70684+216    0.12304+219    0.12303+219    0.91603+213
    70   -0.72801+216   -0.12753+219   -0.12753+219   -0.86842+213
    71    0.76330+216    0.12533+219    0.12533+219   -0.16909+214
    72   -0.77285+216   -0.12650+219   -0.12649+219   -0.34057+213
    73    0.78776+216    0.13099+219    0.13098+219    0.15436+214
    74   -0.82677+216   -0.13850+219   -0.13850+219    0.14810+214
    75    0.84351+216    0.14605+219    0.14605+219   -0.56012+213
    76   -0.85224+216   -0.14103+219   -0.14102+219   -0.18553+214
    77    0.88943+216    0.14227+219    0.14226+219   -0.68703+213
    78   -0.91603+216   -0.14037+219   -0.14037+219    0.13141+214
