# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 20500, i.e. number of multipoles equal to 20499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.405253644249e-10       5.066853915846e-15       3.930525617921e-13       0.000000000000e+00       8.245156946295e-09       4.520654881802e-10      -2.061438877211e-12 
    3       1.328224467470e-10       7.232058078321e-15       4.594950261966e-13       0.000000000000e+00       5.146255457268e-09       3.219759727110e-10      -1.657629265190e-12 
    4       1.254055530497e-10       7.027406718387e-15       4.451618233128e-13       0.000000000000e+00       3.586979235236e-09       2.441842365915e-10      -1.181007684867e-12 
    5       1.197267369290e-10       5.307091353469e-15       3.920532443222e-13       0.000000000000e+00       2.679227639285e-09       1.930177357728e-10      -7.496532035920e-13 
    6       1.157168143203e-10       3.307805269957e-15       3.254537221317e-13       0.000000000000e+00       2.092625790926e-09       1.571026427432e-10      -4.014418525562e-13 
    7       1.130701906069e-10       1.833664036290e-15       2.610268897929e-13       0.000000000000e+00       1.686873462369e-09       1.307611028065e-10      -1.484519723236e-13 
    8       1.114157863145e-10       1.057598785727e-15       2.068668411218e-13       0.000000000000e+00       1.393203104320e-09       1.107592665932e-10       1.279223617532e-14 
    9       1.105329721544e-10       7.623501371124e-16       1.663145796390e-13       0.000000000000e+00       1.173350509305e-09       9.512593035388e-11       9.538582259795e-14 
   10       1.102230133492e-10       6.611313957496e-16       1.396951768164e-13       0.000000000000e+00       1.003805321025e-09       8.268167325937e-11       1.179679074595e-13 
   11       1.103542043298e-10       5.844918823394e-16       1.254338717006e-13       0.000000000000e+00       8.429910090061e-10       7.290901365637e-11       1.010770182251e-13 
   12       1.108686772466e-10       4.983389442209e-16       1.208621882031e-13       0.000000000000e+00       7.365051531855e-10       6.458716145772e-11       6.414523884652e-14 
   13       1.116289599586e-10       4.317526277168e-16       1.229480183515e-13       0.000000000000e+00       6.491126968085e-10       5.768843051295e-11       2.266049263492e-14 
   14       1.125569039571e-10       4.077338146250e-16       1.290087790077e-13       0.000000000000e+00       5.764114067775e-10       5.169286362296e-11      -1.282988644882e-14 
   15       1.136756919057e-10       4.207271470859e-16       1.370215099596e-13       0.000000000000e+00       5.152281963321e-10       4.665507272052e-11      -3.626321962624e-14 
   16       1.149895629895e-10       4.513817433316e-16       1.455373311165e-13       0.000000000000e+00       4.632171879304e-10       4.239278777220e-11      -4.632493361053e-14 
   17       1.163573727174e-10       4.878218094480e-16       1.537764197147e-13       0.000000000000e+00       4.186067173693e-10       3.871148837912e-11      -4.493572893022e-14 
   18       1.178379629258e-10       5.334212771166e-16       1.615276670484e-13       0.000000000000e+00       3.798898814578e-10       3.538567431671e-11      -3.617312829226e-14 
   19       1.194452450623e-10       5.969906668639e-16       1.689900964918e-13       0.000000000000e+00       3.464547881900e-10       3.241767522666e-11      -2.386607369376e-14 
   20       1.211010180288e-10       6.875336884933e-16       1.765017228488e-13       0.000000000000e+00       3.170087433631e-10       2.982049024285e-11      -1.230611106237e-14 
   21       1.228190356171e-10       8.052496841921e-16       1.843378945169e-13       0.000000000000e+00       2.910886231447e-10       2.756204318759e-11      -3.781635483204e-15 
   22       1.246089867568e-10       9.465252599777e-16       1.927224016172e-13       0.000000000000e+00       2.680746387292e-10       2.555465988544e-11       2.626096967989e-16 
   23       1.264573030822e-10       1.109527603184e-15       2.016399424925e-13       0.000000000000e+00       2.476501920062e-10       2.375351924710e-11       1.433049222563e-17 
   24       1.283262664838e-10       1.292773591177e-15       2.109204205012e-13       0.000000000000e+00       2.293425994563e-10       2.210863401847e-11      -3.444061725734e-15 
   25       1.302351130908e-10       1.496711686688e-15       2.202317129119e-13       0.000000000000e+00       2.129360039530e-10       2.061807047313e-11      -8.608352372938e-15 
   26       1.322029075429e-10       1.722004948972e-15       2.291369315099e-13       0.000000000000e+00       1.981329475723e-10       1.927942557726e-11      -1.365684190550e-14 
   27       1.342203869272e-10       1.967785044942e-15       2.372722397734e-13       0.000000000000e+00       1.847560317762e-10       1.807700332205e-11      -1.736788579210e-14 
   28       1.362612685384e-10       2.232950141785e-15       2.443003511893e-13       0.000000000000e+00       1.725749539777e-10       1.698222975591e-11      -1.881428685281e-14 
   29       1.383322871046e-10       2.518984695635e-15       2.500871732193e-13       0.000000000000e+00       1.615273961165e-10       1.598419417545e-11      -1.814125950884e-14 
   30       1.404393942450e-10       2.828476560784e-15       2.545711018684e-13       0.000000000000e+00       1.514943899179e-10       1.506660804760e-11      -1.598219600906e-14 
   31       1.425780153083e-10       3.164154511381e-15       2.577289984800e-13       0.000000000000e+00       1.422709304522e-10       1.420646313601e-11      -1.312515057819e-14 
   32       1.447504732487e-10       3.527624609190e-15       2.596453891362e-13       0.000000000000e+00       1.338094844089e-10       1.340479009061e-11      -1.016882586286e-14 
   33       1.469524012679e-10       3.920171970913e-15       2.604753731761e-13       0.000000000000e+00       1.260504753546e-10       1.266606037133e-11      -7.759277338942e-15 
   34       1.491732966648e-10       4.342971154391e-15       2.603804987675e-13       0.000000000000e+00       1.188855708070e-10       1.199002060639e-11      -6.507639948982e-15 
   35       1.514191749614e-10       4.796690439147e-15       2.593538530481e-13       0.000000000000e+00       1.122781007622e-10       1.137298374844e-11      -6.360174978177e-15 
   36       1.536962090671e-10       5.281731477681e-15       2.573343660343e-13       0.000000000000e+00       1.061749605672e-10       1.080605084827e-11      -7.002349497877e-15 
   37       1.560054454759e-10       5.798440263262e-15       2.542427805394e-13       0.000000000000e+00       1.004966220211e-10       1.027768012245e-11      -8.061993177391e-15 
   38       1.583478666064e-10       6.347518630474e-15       2.499501191029e-13       0.000000000000e+00       9.522842941643e-11       9.785524724030e-12      -9.263629046640e-15 
   39       1.607197992859e-10       6.929737745044e-15       2.442964113693e-13       0.000000000000e+00       9.035371682197e-11       9.327916767340e-12      -1.031633053912e-14 
   40       1.631107105123e-10       7.545824202928e-15       2.370969926906e-13       0.000000000000e+00       8.582604098200e-11       8.900384577960e-12      -1.086747413044e-14 
