# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 20000, i.e. number of multipoles equal to 19999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.405258366979e-10       5.067103270342e-15       3.930525575457e-13       2.493544934828e-19       8.245156946295e-09       4.520654881802e-10      -2.061438877211e-12 
    3       1.328233890644e-10       7.232556929494e-15       4.594950072807e-13       4.988511520483e-19       5.146255457268e-09       3.219759727110e-10      -1.657629265190e-12 
    4       1.254071186856e-10       7.028238448521e-15       4.451617689907e-13       8.317300347143e-19       3.586979235236e-09       2.441842365915e-10      -1.181007684867e-12 
    5       1.197290763489e-10       5.308339522195e-15       3.920531206568e-13       1.248168414671e-18       2.679227639285e-09       1.930177357728e-10      -7.496532035920e-13 
    6       1.157200746146e-10       3.309553648442e-15       3.254534791661e-13       1.748377724647e-18       2.092625790926e-09       1.571026427432e-10      -4.014418525562e-13 
    7       1.130745150071e-10       1.835996635191e-15       2.610264590208e-13       2.332597384189e-18       1.686873462369e-09       1.307611028065e-10      -1.484519723236e-13 
    8       1.114213138037e-10       1.060599876187e-15       2.068661332856e-13       3.001087959628e-18       1.393203104320e-09       1.107592665932e-10       1.279223617532e-14 
    9       1.105398371767e-10       7.661042643144e-16       1.663134828789e-13       3.754123926285e-18       1.173350509305e-09       9.512593035388e-11       9.538582259795e-14 
   10       1.102313456235e-10       6.657233847825e-16       1.396935551852e-13       4.591986316664e-18       1.003805321025e-09       8.268167325937e-11       1.179679074595e-13 
   11       1.103641287661e-10       5.900068364085e-16       1.254315640433e-13       5.514955540687e-18       8.429910090061e-10       7.290901365637e-11       1.010770182251e-13 
   12       1.108803139624e-10       5.048622354674e-16       1.208590073936e-13       6.523304654579e-18       7.365051531855e-10       6.458716145772e-11       6.414523884652e-14 
   13       1.116424243881e-10       4.393698811419e-16       1.229437508662e-13       7.617293333996e-18       6.491126968085e-10       5.768843051295e-11       2.266049263492e-14 
   14       1.125723070436e-10       4.165308858135e-16       1.290031848082e-13       8.797162775437e-18       5.764114067775e-10       5.169286362296e-11      -1.282988644882e-14 
   15       1.136931403645e-10       4.307900945827e-16       1.370143226513e-13       1.006313170911e-17       5.152281963321e-10       4.665507272052e-11      -3.626321962624e-14 
   16       1.150091596274e-10       4.627967966388e-16       1.455282583438e-13       1.141539365799e-17       4.632171879304e-10       4.239278777220e-11      -4.632493361053e-14 
   17       1.163792167927e-10       5.006753336810e-16       1.537651437528e-13       1.285411552380e-17       4.186067173693e-10       3.871148837912e-11      -4.493572893022e-14 
   18       1.178621505398e-10       5.477997348839e-16       1.615138455702e-13       1.437943687323e-17       3.798898814578e-10       3.538567431671e-11      -3.617312829226e-14 
   19       1.194718695207e-10       6.129805813173e-16       1.689733633596e-13       1.599147444055e-17       3.464547881900e-10       3.241767522666e-11      -2.386607369376e-14 
   20       1.211301702749e-10       7.052216007105e-16       1.764816891964e-13       1.769031750634e-17       3.170087433631e-10       2.982049024285e-11      -1.230611106237e-14 
   21       1.228508045297e-10       8.247221181714e-16       1.843141496222e-13       1.947604093521e-17       2.910886231447e-10       2.756204318759e-11      -3.781635483204e-15 
   22       1.246434595296e-10       9.678686812400e-16       1.926945140956e-13       2.134869968725e-17       2.680746387292e-10       2.555465988544e-11       2.626096967989e-16 
   23       1.264945654256e-10       1.132828386657e-15       2.016074612443e-13       2.330834414920e-17       2.476501920062e-10       2.375351924710e-11       1.433049222563e-17 
   24       1.283664029088e-10       1.318117982567e-15       2.108828759883e-13       2.535501460853e-17       2.293425994563e-10       2.210863401847e-11      -3.444061725734e-15 
   25       1.302782069672e-10       1.524185774451e-15       2.201886181925e-13       2.748875883307e-17       2.129360039530e-10       2.061807047313e-11      -8.608352372938e-15 
