# Matter power spectrum P(k) at redshift z=0
# for k=1.05076e-05 to 8.19543 h/Mpc,
# number of wavenumbers equal to 1964
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050757505011e-05       4.957850713390e+01 
       2.348223452994e-05       1.072892581024e+02 
       3.650313702560e-05       1.638607916159e+02 
       4.960582904370e-05       2.199568037592e+02 
       6.282645309691e-05       2.759478116053e+02 
       7.620207466416e-05       3.321072763675e+02 
       8.977101974556e-05       3.886663802343e+02 
       1.035732275618e-04       4.458363459459e+02 
       1.176506229824e-04       5.038198032352e+02 
       1.320475133023e-04       5.628175941276e+02 
       1.468110139869e-04       6.230334672934e+02 
       1.619915079397e-04       6.846776659328e+02 
       1.776431426455e-04       7.479699718759e+02 
       1.938243691307e-04       8.131424502158e+02 
       2.105985259611e-04       8.804420719679e+02 
       2.280344703060e-04       9.501332676458e+02 
       2.462072562740e-04       1.022500505736e+03 
       2.651988580049e-04       1.097850844510e+03 
       2.850989311075e-04       1.176516507205e+03 
       3.060056005899e-04       1.258857380961e+03 
       3.280262560362e-04       1.345263378235e+03 
       3.512783249991e-04       1.436156547312e+03 
       3.758899830185e-04       1.531992727818e+03 
       4.020007430868e-04       1.633262542695e+03 
       4.297618488531e-04       1.740491423985e+03 
       4.593363750703e-04       1.854238263479e+03 
       4.908989173575e-04       1.975092316852e+03 
       5.246347342695e-04       2.103667790601e+03 
       5.607381926418e-04       2.240595674289e+03 
       5.994103688299e-04       2.386512296990e+03 
       6.408556819116e-04       2.542044342659e+03 
       6.852774885884e-04       2.707790199058e+03 
       7.328726595971e-04       2.884297924734e+03 
       7.838252843261e-04       3.072040739289e+03 
       8.382998044452e-04       3.271391325615e+03 
       8.964340364041e-04       3.482596830350e+03 
       9.583326723091e-04       3.705757100618e+03 
       1.024061909180e-03       3.940808414642e+03 
       1.093645814802e-03       4.187515024422e+03 
       1.167064882243e-03       4.445469855521e+03 
       1.244256973402e-03       4.714104903780e+03 
       1.325120553479e-03       4.992710447122e+03 
       1.409519837982e-03       5.280436295156e+03 
       1.497291271669e-03       5.576378290980e+03 
       1.588250669930e-03       5.879585165146e+03 
       1.682200379618e-03       6.189066724323e+03 
       1.778935931965e-03       6.503835033716e+03 
       1.878251823742e-03       6.822926362666e+03 
       1.979946233350e-03       7.145418460579e+03 
       2.083824625969e-03       7.470443171209e+03 
       2.189702310605e-03       7.797194117522e+03 
       2.297406079023e-03       8.124931682884e+03 
       2.406775087688e-03       8.452983602492e+03 
       2.517661148270e-03       8.780744005921e+03 
       2.629928579656e-03       9.107671120567e+03 
       2.743453752917e-03       9.433282617041e+03 
       2.858124436144e-03       9.757152691013e+03 
       2.973839022199e-03       1.007890550966e+04 
       3.090505701319e-03       1.039821302815e+04 
       3.208041622852e-03       1.071478778730e+04 
       3.326372076443e-03       1.102838051388e+04 
       3.445429712203e-03       1.133877563134e+04 
       3.565153811453e-03       1.164578625154e+04 
       3.685489613907e-03       1.194925225189e+04 
       3.806387703186e-03       1.224903801748e+04 
       3.927803449852e-03       1.254502654926e+04 
       4.049696509507e-03       1.283712328631e+04 
       4.172030372456e-03       1.312524497616e+04 
       4.294771960928e-03       1.340932945793e+04 
       4.417891269673e-03       1.368932009315e+04 
       4.541361045780e-03       1.396517634355e+04 
       4.665156503725e-03       1.423686885000e+04 
       4.789255071932e-03       1.450434995421e+04 
       4.913636167402e-03       1.476764051577e+04 
       5.038280995278e-03       1.502672958556e+04 
       5.163172370535e-03       1.528159180287e+04 
       5.288294559268e-03       1.547710550089e+04 
       5.413633137309e-03       1.572147623500e+04 
       5.539174864194e-03       1.596161135010e+04 
       5.664907570695e-03       1.619681848189e+04 
       5.790820058363e-03       1.642857631243e+04 
       5.916902009693e-03       1.665619940660e+04 
       6.043143907698e-03       1.687965525330e+04 
       6.169536963826e-03       1.709901250688e+04 
       6.296073053273e-03       1.731434892302e+04 
       6.422744656854e-03       1.752560018442e+04 
       6.549544808723e-03       1.773290530337e+04 
       6.676467049265e-03       1.793637722264e+04 
       6.803505382622e-03       1.813579945121e+04 
       6.930654238336e-03       1.833119719844e+04 
       7.057908436665e-03       1.852298460444e+04 
       7.185263157193e-03       1.871085223265e+04 
       7.312713910372e-03       1.889490722901e+04 
       7.440256511704e-03       1.907509392110e+04 
       7.567887058280e-03       1.925155551603e+04 
       7.695601907448e-03       1.942445305397e+04 
       7.823397657378e-03       1.959351592772e+04 
       7.951271129353e-03       1.975923959521e+04 
       8.079219351600e-03       1.992191214585e+04 
       8.207239544522e-03       2.008048841933e+04 
       8.335329107188e-03       2.023555128180e+04 
       8.463485604967e-03       2.038719500919e+04 
       8.591706758194e-03       2.053546203429e+04 
       8.719990431767e-03       2.068030464565e+04 
       8.848334625608e-03       2.082184186504e+04 
       8.976737465878e-03       2.096007502047e+04 
       9.105197196911e-03       2.109503021068e+04 
       9.233712173778e-03       2.122675754963e+04 
       9.362280855441e-03       2.135533252897e+04 
       9.490901798431e-03       2.148078525899e+04 
       9.619573651023e-03       2.160311141867e+04 
       9.748295147846e-03       2.172236392614e+04 
       9.877065104910e-03       2.183856201566e+04 
       1.000588241500e-02       2.195179808129e+04 
       1.013474604341e-02       2.206205643220e+04 
       1.026365502400e-02       2.216937232647e+04 
       1.039260845554e-02       2.227380828734e+04 
       1.052160549832e-02       2.237537612570e+04 
       1.065064537100e-02       2.247410661658e+04 
       1.077972734767e-02       2.257004222794e+04 
       1.090885075517e-02       2.266320112460e+04 
       1.103801497058e-02       2.275365684499e+04 
       1.116721941883e-02       2.284140136186e+04 
       1.129646357056e-02       2.292648053966e+04 
       1.142574694011e-02       2.300893722010e+04 
       1.155506908358e-02       2.308887416857e+04 
       1.168442959716e-02       2.316601857298e+04 
       1.181382811545e-02       2.324079537396e+04 
       1.194326430996e-02       2.331302067591e+04 
       1.207273788769e-02       2.338288594368e+04 
       1.220224858987e-02       2.345014050269e+04 
       1.233179619068e-02       2.351507931569e+04 
       1.246138049616e-02       2.357744988879e+04 
       1.259100134315e-02       2.363761110199e+04 
       1.272065859831e-02       2.369552014578e+04 
       1.285035215723e-02       2.375094582410e+04 
       1.298008194358e-02       2.380415087397e+04 
       1.310984790833e-02       2.385525314580e+04 
       1.323965002905e-02       2.390385011119e+04 
       1.336948830923e-02       2.395058440270e+04 
       1.349936277767e-02       2.399490223248e+04 
       1.362927348794e-02       2.403716793731e+04 
       1.375922051782e-02       2.407734230437e+04 
       1.388920396887e-02       2.411540364567e+04 
       1.401922396599e-02       2.415152947304e+04 
       1.414928065700e-02       2.418557482730e+04 
       1.427937421230e-02       2.421754864910e+04 
